keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
노팅엄 포레스트 대 리버풀,5082,[프리미어리그] 12R 리버풀 vs 노팅엄 2분 하이라이트,349556,2762,1217
노팅엄 포레스트 대 리버풀,5082,Liverpool 0-3 Nottingham Forest | Extended Highlights | Premier League,473952,5126,294
노팅엄 포레스트 대 리버풀,5082,BACK TO BACK WINS AT ANFIELD! 🙌 | Liverpool 0-3 Nottingham Forest | Premier League Highlights,966386,11668,646
바르셀로나 대 레반테,7417,[레반테vs바르셀로나] 2점 밀리다 역전승 거두는 바르샤,39706,464,23
바르셀로나 대 레반테,7417,[라리가] 2R 레반테 vs 바르셀로나 2분 하이라이트,188369,1304,519
바르셀로나 대 레반테,7417,현재 ‘레반도프스키’ 때문에 걱정이라는 바르셀로나 ㄷㄷㄷ,311270,3847,265
맨 시티 대 뉴캐슬,29055,[카라바오컵] 뉴캐슬 vs 맨시티 2분 하이라이트,340477,2486,487
맨 시티 대 뉴캐슬,29055,[카라바오컵] 맨시티 vs 뉴캐슬 오마르 마르무시 주요장면,4475,66,19
맨 시티 대 뉴캐슬,29055,[카라바오컵] 맨시티 vs 뉴캐슬 2분 하이라이트,389861,2703,366
바이에른 대 아인트라흐트,195,[분데스리가] 6R 프랑크푸르트 vs 바이에른 뮌헨 2분 하이라이트,207585,1490,431
바이에른 대 아인트라흐트,195,극적인 동점골로 우승 경쟁을 이어가는 프랑크푸르트 | 분데스리가 | 프랑크푸르트 vs 바이에른 뮌헨,262341,1670,258
바이에른 대 아인트라흐트,195,경기 시작과 동시에 입장골을 터뜨리는 루이스 디아스 I 분데스리가 I 프랑크푸르트 vs 바이에른 뮌헨,27311,304,37
오사수나 대 레알 마드리드,4784,[라리가] 1R 레알 마드리드 vs 오사수나 2분 하이라이트,211886,1205,672
오사수나 대 레알 마드리드,4784,이젠 경이로운 수준의 쿠르투아 | 라리가 | 오사수나 vs 레알 마드리드,419308,4221,144
오사수나 대 레알 마드리드,4784,⚽레알 마드리드 vs 오사수나 1-2 | 경기 하이라이트 | 2025-26 라리가,199,5,3
울브스 대 아스널,923,[프리미어리그] 16R 아스날 vs 울버햄튼 2분 하이라이트,658239,3392,1026
울브스 대 아스널,923,울버햄튼 자책골 2방으로 2 : 1 승리하는 아스날 l 프리미어리그 I 아스날 vs 울버햄튼,73443,1150,109
울브스 대 아스널,923,[프리미어리그] 16R 아스날 vs 울버햄튼 황희찬 주요장면,36647,252,256
mls,1000000,LAFC vs. Inter Miami CF | Full Match Highlights | Battle At The Coliseum,2407473,32800,3226
mls,1000000,"LA Galaxy vs. New York City Penalty, Red Cards and Disallowed Goal | Instant Replay",6884,240,65
mls,1000000,[MLS] 1R LAFC vs 인터 마이애미 2분 하이라이트,549753,3457,872
첼시 대 번리,164766,[프리미어리그] 27R 첼시 vs 번리 2분 하이라이트,209513,1466,309
첼시 대 번리,164766,스스로 족쇄를 차는 첼시ㅣ첼시 vs 번리,18858,260,67
첼시 대 번리,164766,[프리미어리그] 27R 첼시 vs 번리 페드루 네투 주요장면,1863,20,12
김지호,139506,"'공공도서 훼손 논란' 김지호, 과거 예능 장면까지 재소환 된 이유 / YTN star",3876,96,91
김지호,139506,"[문화연예 플러스] 배우 김지호, 공공도서 훼손 논란 (2026.02.25/뉴스투데이/MBC)",5824,117,92
김지호,139506,"'도서관 책 훼손' 김지호, 과거 파묘 [투데이 '픽'/iMBC연예뉴스]",843,30,14
파반느,17942,[신작이 좋다] 파반느 [영화가 좋다] | KBS 260214 방송,1824,19,3
파반느,17942,"편집자 존버 성공했습니다😂 17년 만에 영화로 돌아온 ✨ 인생 로맨스 소설 ✨ ┃파반느, MBC 260215 방송",256394,1154,133
파반느,17942,"[파반느] 쉿, 파반느에 숨겨진 12가지",5321,143,17
청년문화예술패스,10969,"공연, 전시, 영화 관람비 최대 20만원 지원하는 청년문화예술패스",243,1,0
청년문화예술패스,10969,📢 2026년 청년문화예술패스가 이렇게 달라집니다!,3292,24,4
청년문화예술패스,10969,청년문화패스 진짜 세금 낭비인 이유 #썰,10968,0,12
윤영경,5930,남창희 아내의 놀라운정체?#남창희#한강아이유#윤영경,12077,74,11
윤영경,5930,"""미인이라고 소문이 났다""…남창희 아내 누구길래? - 뉴스파이터",5111,27,14
윤영경,5930,[이슈] 충남 부여 캠핑장서 50대 부부 숨져…질식사 추정/2026년 2월 24일(화)/KBS,64116,290,42
sydney sweeney,1000000,Sydney Sweeney Has Great Jeans | American Eagle,11697037,97997,20552
sydney sweeney,1000000,Sydney Sweeney Reveals One Thing She's Always Wanted to Try | The Drew Barrymore Show,3391777,86621,1323
sydney sweeney,1000000,#SydneySweeney is painting the #2024PCAs red. 🔥 (📸: Getty) #shorts,3422469,33013,1079
